length_from_data_set,width,iwrap_type_from_dataset,mean_speed,top_speed,std_speed,Speed_mode,Speed_median,ROT_mean,ROT_max,ROT_median,ROT_min,ROT_mode
144,22,Oil products tanker,11.352289430623735,17.1,3.086526281078644,12,12.0,-0.012078098566159138,25.7,-1.0,-27.9,-2.0
88,13,General cargo ship,6.798928510493089,51.2,3.415729594988896,9,8.2,6.824773929363591e-06,0.4,0.0,0.0,0.0
183,27,Oil products tanker,11.585223763843715,16.0,2.2530010618219256,12,12.0,3.979853706067218e-05,2.9,3.0,0.0,3.0
183,32,Oil products tanker,12.503466594633537,14.9,1.3660420298089504,13,12.8,0.6812263641274986,45.7,1.0,-30.2,-1.0
143,23,Oil products tanker,9.339647015315556,14.3,3.2000988650732203,11,10.6,-0.06619610543632122,61.1,-1.0,-67.9,2.0
188,32,Oil products tanker,11.365159257789244,51.2,3.3402973981377637,12,12.4,3.307534563736192e-06,0.2,0.0,0.0,0.0
184,27,Oil products tanker,12.382954871060171,15.3,1.9986834219435088,13,13.0,0.2010888252148997,35.0,1.0,-42.9,-1.0
162,25,General cargo ship,13.08321363046943,20.2,4.232244268112177,16,14.3,0.06767581065402324,61.1,-1.0,-57.9,-3.0
205,26,General cargo ship,15.927669339550805,22.8,5.128891058136352,18,17.7,0.09644385630490834,35.0,1.0,-35.0,2.0
237,32,General cargo ship,16.566280063054258,51.2,2.2774842093904364,18,17.1,-0.055217387475452,40.2,-1.0,-40.2,-1.0
158,24,General cargo ship,13.576057561959054,17.1,3.3789018289031834,15,14.5,0.012647293962251041,82.5,-1.0,-61.1,2.0
83,13,General cargo ship,11.301300924340982,12.7,0.6271415519596439,11,11.4,-0.08062307428962681,40.2,1.0,-35.0,1.0
177,30,General cargo ship,13.138780299944749,20.1,4.231388562686292,15,14.8,0.06349529597264285,48.6,1.0,-57.9,-1.0
168,26,General cargo ship,10.535186439529925,20.2,3.812951104600853,11,10.7,-0.040618191259976746,45.7,1.0,-45.7,2.0
161,25,General cargo ship,14.379704072008867,19.7,3.828498254417578,16,15.6,0.04127107566556908,45.7,1.0,-45.7,-1.0
205,26,General cargo ship,15.847498418296942,23.3,5.126741805398454,18,17.8,0.138350943791006,708.7,1.0,-51.6,2.0
114,13,General cargo ship,8.004868982889441,10.3,1.5851154506764913,8,8.4,-0.023414124658249616,94.5,1.0,-78.7,3.0
144,23,Oil products tanker,9.627652441153874,62.7,3.2222140314012795,12,9.7,-0.012619030988801192,54.7,1.0,-48.6,4.0
111,14,General cargo ship,8.733327778505197,51.2,3.6544948550454497,10,10.2,2.380640630393639e-06,0.2,0.0,0.0,0.0
83,12,General cargo ship,9.023450368443868,12.0,2.2080420200988806,10,9.6,0.0054104110020885,94.5,5.0,-94.5,5.0
205,26,General cargo ship,15.885983879149993,51.2,5.28592512132394,20,17.4,1.1273321684234258e-06,0.2,0.0,0.0,0.0
180,30,General cargo ship,12.120228475898578,15.3,1.178448896549478,12,12.2,0.2002786291446085,27.9,1.0,-27.9,1.0
229,32,General cargo ship,10.150963547713024,13.0,2.4784151093152205,12,10.8,0.2123055491061063,25.7,1.0,-23.6,-1.0
100,15,Oil products tanker,8.577809355334514,12.7,2.7864928441720447,10,9.6,-0.2572494659204052,67.9,-1.0,-64.5,2.0
90,14,General cargo ship,10.110729986489671,13.7,2.914294562389457,11,11.1,4.288992301258819e-06,0.4,0.0,0.0,0.0
229,32,General cargo ship,10.682304878048779,12.6,0.7249733404811859,11,10.8,-0.0038536585365853775,19.7,-1.0,-23.6,-1.0
250,44,Oil products tanker,10.8808,12.3,0.99763839349537,11,11.2,0.02313548387096775,17.9,-1.0,-17.9,-1.0
235,38,General cargo ship,11.228822683978468,14.4,1.3125961202580032,12,11.6,0.16309225110228734,32.5,1.0,-27.9,-1.0
133,22,General cargo ship,11.22251447530328,20.0,4.464958464523567,10,11.5,-0.12726641352185827,90.4,-1.0,-75.0,-1.0
205,26,General cargo ship,16.038476666803597,22.3,4.906012262448238,18,17.7,0.11362095879719016,35.0,1.0,-40.2,2.0
105,15,General cargo ship,9.096416736509573,14.1,2.4275793810908985,10,9.8,-0.0293217716459287,86.4,1.0,-78.7,1.0
148,23,General cargo ship,11.545606403748536,19.4,5.414981831239248,16,14.4,-0.2830370948848106,48.6,-1.0,-54.7,-2.0
166,22,General cargo ship,12.187652966784356,17.2,1.4482697120801928,12,11.8,3.0469574225787163e-06,0.4,0.0,0.0,0.0
249,44,Oil products tanker,10.717140737076427,14.2,2.370082066555286,12,12.0,0.2365075439030423,21.6,1.0,-14.5,-1.0
229,32,General cargo ship,11.000916563183727,14.4,1.2610725972901504,12,11.3,0.21633059349930026,37.5,1.0,-30.2,1.0
189,28,General cargo ship,12.706769825918762,15.9,1.8522639293659904,12,12.8,0.0844842037395229,35.0,1.0,-32.5,1.0
122,20,General cargo ship,9.622891422259588,51.2,4.4058944569461005,12,11.5,3.2972286792950533e-06,0.4,0.0,0.0,0.0
137,21,General cargo ship,12.370427005193307,13.5,0.4998639838177264,12,12.2,0.4511252163877669,35.0,1.0,-25.7,-4.0
216,32,General cargo ship,16.084719773252026,20.1,1.7485746683896557,16,16.2,0.032116061820147625,40.2,1.0,-42.9,1.0
107,16,General cargo ship,9.076664715351967,12.0,2.2968189505386802,10,9.7,-0.17742572808429674,48.6,-1.0,-61.1,3.0
107,18,General cargo ship,9.471459108542478,51.2,3.0949063610829617,11,10.5,9.048033749165884e-06,0.4,0.0,0.0,0.0
103,16,Oil products tanker,11.289454298730252,14.4,1.2587158864550794,11,11.3,0.10634551387677296,166.1,1.0,-107.2,1.0
177,31,General cargo ship,11.437831506211287,19.2,4.2719540528526325,12,12.4,-0.06822337001480698,57.9,1.0,-51.6,1.0
178,31,General cargo ship,12.808452412126096,18.3,4.29937218097596,14,14.3,0.037026488065263374,64.5,1.0,-57.9,1.0
147,22,Oil products tanker,11.744949385237,15.9,1.6514271768450663,12,11.8,-0.361997653907981,61.1,-1.0,-40.2,-1.0
141,21,General cargo ship,14.546775533619515,18.6,3.34529564326476,16,15.5,0.09236661984926113,82.5,1.0,-61.1,1.0
87,12,General cargo ship,9.769675629982046,12.7,2.0435121864559616,10,10.2,-0.0783580994697462,107.2,-1.0,-107.2,-3.0
72,11,General cargo ship,7.2079531311659535,51.2,1.9932687369771729,8,7.9,4.047394995396088e-06,0.4,0.0,0.0,0.0
144,23,Oil products tanker,10.803301278873796,13.1,2.045015147763996,11,11.2,0.1019976206999108,61.1,1.0,-37.5,-2.0
274,48,Oil products tanker,12.450128461318867,14.1,1.3335388783568358,13,13.0,0.2340850699400513,19.7,1.0,-17.9,-2.0
106,16,Oil products tanker,8.278138025008014,12.7,4.433147013679749,11,10.4,-0.0038233408143634718,98.6,-5.0,-94.5,-5.0
88,12,General cargo ship,6.783296494097207,12.7,4.116288574073817,0,8.6,-2.3697232585475554,540.1,-3.0,-540.1,-10.0
